amfi_code,scheme_name,fund_house,cagr_1yr_pct,cagr_3yr_pct,cagr_5yr_pct
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,22.26,35.11,28.21
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,20.36,34.0,30.97
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,13.06,32.49,23.3
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,53.23,32.44,30.12
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,29.6,31.78,32.83
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,60.44,30.46,25.8
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,26.66,29.58,30.91
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,39.75,29.18,31.95
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,47.92,28.97,23.54
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,65.14,27.0,32.29
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,21.48,26.87,29.58
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,82.78,26.67,32.42
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,13.58,25.56,16.84
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,33.98,22.65,24.05
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,25.54,21.09,16.27
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,19.77,20.82,7.9
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,22.49,20.01,15.96
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,20.21,19.67,18.23
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,28.68,18.43,19.02
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,41.82,18.42,17.08
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,18.11,18.04,13.39
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,16.84,17.27,13.53
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,5.71,16.27,21.52
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,14.27,14.75,22.52
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,8.49,13.98,18.79
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,15.44,11.25,11.3
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,15.81,8.01,16.37
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,22.5,7.76,6.7
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,7.43,7.39,7.24
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,7.12,6.7,6.92
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,7.24,6.32,6.51
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,5.52,5.84,5.89
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,10.45,4.06,5.32
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,3.7,3.92,4.46
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,-2.22,1.29,2.64
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,1.61,0.53,6.37
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,-16.8,-0.77,1.17
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,13.95,-1.34,2.05
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,-23.99,-4.15,7.94
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,-42.8,-11.71,1.52
