,amfi_code,date,nav
0,119551,2022-01-03,54.3856
1,119551,2022-01-04,54.3474
2,119551,2022-01-05,54.6869
3,119551,2022-01-06,55.455
4,119551,2022-01-07,55.3692
5,119551,2022-01-10,55.2835
6,119551,2022-01-11,56.0878
7,119551,2022-01-12,56.4978
8,119551,2022-01-13,56.2934
9,119551,2022-01-14,56.5926
10,119551,2022-01-17,56.3908
11,119551,2022-01-18,56.1887
12,119551,2022-01-19,56.3378
13,119551,2022-01-20,55.4237
14,119551,2022-01-21,54.6151
15,119551,2022-01-24,54.373
16,119551,2022-01-25,53.9173
17,119551,2022-01-26,54.0948
18,119551,2022-01-27,53.6911
19,119551,2022-01-28,53.0538
20,119551,2022-01-31,53.7718
21,119551,2022-02-01,53.6925
22,119551,2022-02-02,53.7522
23,119551,2022-02-03,53.1084
24,119551,2022-02-04,52.8813
25,119551,2022-02-07,52.9604
26,119551,2022-02-08,52.4526
27,119551,2022-02-09,52.6538
28,119551,2022-02-10,52.4027
29,119551,2022-02-11,52.295
30,119551,2022-02-14,52.0451
31,119551,2022-02-15,52.9295
32,119551,2022-02-16,52.9506
33,119551,2022-02-17,52.486
34,119551,2022-02-18,52.8954
35,119551,2022-02-21,52.3559
36,119551,2022-02-22,52.4795
37,119551,2022-02-23,51.607
38,119551,2022-02-24,51.0323
39,119551,2022-02-25,51.1474
40,119551,2022-02-28,51.5081
41,119551,2022-03-01,51.6126
42,119551,2022-03-02,51.5866
43,119551,2022-03-03,51.4764
44,119551,2022-03-04,50.8357
45,119551,2022-03-07,50.5401
46,119551,2022-03-08,50.3612
47,119551,2022-03-09,50.8591
48,119551,2022-03-10,51.0398
49,119551,2022-03-11,50.2783
50,119551,2022-03-14,50.4482
51,119551,2022-03-15,50.3031
52,119551,2022-03-16,50.0295
53,119551,2022-03-17,50.3261
54,119551,2022-03-18,50.8119
55,119551,2022-03-21,51.2574
56,119551,2022-03-22,50.9057
57,119551,2022-03-23,50.7933
58,119551,2022-03-24,50.9682
59,119551,2022-03-25,51.4351
60,119551,2022-03-28,51.2446
61,119551,2022-03-29,51.1872
62,119551,2022-03-30,50.7163
63,119551,2022-03-31,50.21
64,119551,2022-04-01,50.5972
65,119551,2022-04-04,51.2324
66,119551,2022-04-05,51.2263
67,119551,2022-04-06,51.7084
68,119551,2022-04-07,51.9003
69,119551,2022-04-08,51.6325
70,119551,2022-04-11,51.8241
71,119551,2022-04-12,52.5589
72,119551,2022-04-13,52.5694
73,119551,2022-04-14,53.3273
74,119551,2022-04-15,52.1363
75,119551,2022-04-18,52.5427
76,119551,2022-04-19,52.6102
77,119551,2022-04-20,52.4987
78,119551,2022-04-21,52.5683
79,119551,2022-04-22,51.6815
80,119551,2022-04-25,51.6081
81,119551,2022-04-26,51.7976
82,119551,2022-04-27,52.5042
83,119551,2022-04-28,52.2918
84,119551,2022-04-29,51.947
85,119551,2022-05-02,51.7444
86,119551,2022-05-03,52.1907
87,119551,2022-05-04,52.3692
88,119551,2022-05-05,52.152
89,119551,2022-05-06,52.4157
90,119551,2022-05-09,52.4876
91,119551,2022-05-10,52.9653
92,119551,2022-05-11,52.6655
93,119551,2022-05-12,52.5406
94,119551,2022-05-13,52.3863
95,119551,2022-05-16,51.7412
96,119551,2022-05-17,51.9032
97,119551,2022-05-18,52.0497
98,119551,2022-05-19,52.0789
99,119551,2022-05-20,51.9981
100,119551,2022-05-23,51.3796
101,119551,2022-05-24,51.2157
102,119551,2022-05-25,51.0875
103,119551,2022-05-26,50.7535
104,119551,2022-05-27,50.7075
105,119551,2022-05-30,50.9148
106,119551,2022-05-31,51.7955
107,119551,2022-06-01,51.9021
108,119551,2022-06-02,52.047
109,119551,2022-06-03,52.0396
110,119551,2022-06-06,51.1928
111,119551,2022-06-07,51.2073
112,119551,2022-06-08,51.2609
113,119551,2022-06-09,52.4137
114,119551,2022-06-10,52.3519
115,119551,2022-06-13,52.5184
116,119551,2022-06-14,52.5294
117,119551,2022-06-15,52.0176
118,119551,2022-06-16,52.5716
119,119551,2022-06-17,52.9487
120,119551,2022-06-20,53.3469
121,119551,2022-06-21,52.9481
122,119551,2022-06-22,53.6349
123,119551,2022-06-23,53.0032
124,119551,2022-06-24,53.3057
125,119551,2022-06-27,54.3735
126,119551,2022-06-28,53.9284
127,119551,2022-06-29,53.6874
128,119551,2022-06-30,53.7624
129,119551,2022-07-01,53.5518
130,119551,2022-07-04,52.8517
131,119551,2022-07-05,52.9109
132,119551,2022-07-06,52.4446
133,119551,2022-07-07,52.6913
134,119551,2022-07-08,52.2927
135,119551,2022-07-11,53.0398
136,119551,2022-07-12,52.7019
137,119551,2022-07-13,52.5795
138,119551,2022-07-14,52.9854
139,119551,2022-07-15,52.4404
140,119551,2022-07-18,52.5728
141,119551,2022-07-19,53.2098
142,119551,2022-07-20,52.4879
143,119551,2022-07-21,52.6005
144,119551,2022-07-22,52.7484
145,119551,2022-07-25,53.1408
146,119551,2022-07-26,52.5914
147,119551,2022-07-27,52.0093
148,119551,2022-07-28,52.2762
149,119551,2022-07-29,52.4404
150,119551,2022-08-01,52.5835
151,119551,2022-08-02,52.7716
152,119551,2022-08-03,52.4831
153,119551,2022-08-04,52.6179
154,119551,2022-08-05,52.7813
155,119551,2022-08-08,52.4768
156,119551,2022-08-09,53.375
157,119551,2022-08-10,53.6262
158,119551,2022-08-11,53.0931
159,119551,2022-08-12,53.429
160,119551,2022-08-15,52.999
161,119551,2022-08-16,53.3957
162,119551,2022-08-17,53.9719
163,119551,2022-08-18,53.6103
164,119551,2022-08-19,54.0957
165,119551,2022-08-22,54.321
166,119551,2022-08-23,54.7445
167,119551,2022-08-24,55.6967
168,119551,2022-08-25,55.6049
169,119551,2022-08-26,55.265
170,119551,2022-08-29,54.8615
171,119551,2022-08-30,54.4963
172,119551,2022-08-31,54.4873
173,119551,2022-09-01,54.6797
174,119551,2022-09-02,54.8416
175,119551,2022-09-05,55.2716
176,119551,2022-09-06,55.3065
177,119551,2022-09-07,56.0489
178,119551,2022-09-08,55.9471
179,119551,2022-09-09,57.3351
180,119551,2022-09-12,57.6821
181,119551,2022-09-13,57.2772
182,119551,2022-09-14,56.7681
183,119551,2022-09-15,57.0396
184,119551,2022-09-16,56.9566
185,119551,2022-09-19,57.346
186,119551,2022-09-20,57.6156
187,119551,2022-09-21,57.6083
188,119551,2022-09-22,57.2092
189,119551,2022-09-23,56.4791
190,119551,2022-09-26,56.2861
191,119551,2022-09-27,56.7421
192,119551,2022-09-28,56.8787
193,119551,2022-09-29,56.2863
194,119551,2022-09-30,56.4014
195,119551,2022-10-03,56.6226
196,119551,2022-10-04,56.2119
197,119551,2022-10-05,56.3172
198,119551,2022-10-06,56.3752
199,119551,2022-10-07,55.8386
200,119551,2022-10-10,56.044
201,119551,2022-10-11,56.3509
202,119551,2022-10-12,56.9211
203,119551,2022-10-13,57.4822
204,119551,2022-10-14,56.8173
205,119551,2022-10-17,56.3784
206,119551,2022-10-18,56.6643
207,119551,2022-10-19,56.951
208,119551,2022-10-20,57.2398
209,119551,2022-10-21,59.2487
210,119551,2022-10-24,59.5784
211,119551,2022-10-25,60.2091
212,119551,2022-10-26,60.7492
213,119551,2022-10-27,61.1307
214,119551,2022-10-28,60.9924
215,119551,2022-10-31,61.4337
216,119551,2022-11-01,61.0479
217,119551,2022-11-02,60.952
218,119551,2022-11-03,60.723
219,119551,2022-11-04,60.7982
220,119551,2022-11-07,62.0841
221,119551,2022-11-08,61.1016
222,119551,2022-11-09,61.5042
223,119551,2022-11-10,60.6669
224,119551,2022-11-11,60.4461
225,119551,2022-11-14,61.0609
226,119551,2022-11-15,61.1271
227,119551,2022-11-16,60.5801
228,119551,2022-11-17,60.2302
229,119551,2022-11-18,60.6235
230,119551,2022-11-21,60.2653
231,119551,2022-11-22,60.4117
232,119551,2022-11-23,60.4671
233,119551,2022-11-24,60.1517
234,119551,2022-11-25,61.3315
235,119551,2022-11-28,61.7071
236,119551,2022-11-29,60.6461
237,119551,2022-11-30,60.7772
238,119551,2022-12-01,60.4547
239,119551,2022-12-02,60.9424
240,119551,2022-12-05,60.5491
241,119551,2022-12-06,60.5191
242,119551,2022-12-07,60.8206
243,119551,2022-12-08,61.3184
244,119551,2022-12-09,60.704
245,119551,2022-12-12,60.5564
246,119551,2022-12-13,60.3344
247,119551,2022-12-14,60.0187
248,119551,2022-12-15,60.992
249,119551,2022-12-16,61.2418
250,119551,2022-12-19,60.5958
251,119551,2022-12-20,61.1198
252,119551,2022-12-21,62.3067
253,119551,2022-12-22,62.909
254,119551,2022-12-23,62.1037
255,119551,2022-12-26,61.871
256,119551,2022-12-27,62.5984
257,119551,2022-12-28,62.2411
258,119551,2022-12-29,62.5174
259,119551,2022-12-30,62.9784
260,119551,2023-01-02,62.4979
261,119551,2023-01-03,62.4974
262,119551,2023-01-04,60.7675
263,119551,2023-01-05,60.2521
264,119551,2023-01-06,60.149
265,119551,2023-01-09,59.5214
266,119551,2023-01-10,60.4157
267,119551,2023-01-11,59.6893
268,119551,2023-01-12,59.4887
269,119551,2023-01-13,59.5881
270,119551,2023-01-16,60.3815
271,119551,2023-01-17,59.6525
272,119551,2023-01-18,60.2986
273,119551,2023-01-19,60.3352
274,119551,2023-01-20,59.8461
275,119551,2023-01-23,60.1215
276,119551,2023-01-24,60.2582
277,119551,2023-01-25,59.971
278,119551,2023-01-26,60.0389
279,119551,2023-01-27,59.8661
280,119551,2023-01-30,59.9569
281,119551,2023-01-31,60.3392
282,119551,2023-02-01,61.2207
283,119551,2023-02-02,60.5873
284,119551,2023-02-03,61.7697
285,119551,2023-02-06,60.7467
286,119551,2023-02-07,60.6967
287,119551,2023-02-08,61.0439
288,119551,2023-02-09,61.227
289,119551,2023-02-10,60.9231
290,119551,2023-02-13,60.8427
291,119551,2023-02-14,60.61
292,119551,2023-02-15,60.3269
293,119551,2023-02-16,60.812
294,119551,2023-02-17,61.0353
295,119551,2023-02-20,60.6947
296,119551,2023-02-21,61.2097
297,119551,2023-02-22,61.4075
298,119551,2023-02-23,61.8812
299,119551,2023-02-24,62.2579
300,119551,2023-02-27,61.8363
301,119551,2023-02-28,61.5633
302,119551,2023-03-01,62.0024
303,119551,2023-03-02,62.3692
304,119551,2023-03-03,62.3899
305,119551,2023-03-06,62.4867
306,119551,2023-03-07,63.2274
307,119551,2023-03-08,62.9308
308,119551,2023-03-09,63.2678
309,119551,2023-03-10,63.1877
310,119551,2023-03-13,63.099
311,119551,2023-03-14,63.7463
312,119551,2023-03-15,64.2452
313,119551,2023-03-16,64.7412
314,119551,2023-03-17,65.5247
315,119551,2023-03-20,65.5706
316,119551,2023-03-21,66.0002
317,119551,2023-03-22,65.8538
318,119551,2023-03-23,66.0764
319,119551,2023-03-24,66.0347
320,119551,2023-03-27,66.1253
321,119551,2023-03-28,66.5076
322,119551,2023-03-29,66.0635
323,119551,2023-03-30,67.3286
324,119551,2023-03-31,66.7683
325,119551,2023-04-03,66.0912
326,119551,2023-04-04,66.8042
327,119551,2023-04-05,67.3069
328,119551,2023-04-06,67.7134
329,119551,2023-04-07,68.1248
330,119551,2023-04-10,68.1526
331,119551,2023-04-11,67.6503
332,119551,2023-04-12,67.7305
333,119551,2023-04-13,67.3619
334,119551,2023-04-14,67.9788
335,119551,2023-04-17,67.9257
336,119551,2023-04-18,67.4678
337,119551,2023-04-19,67.3115
338,119551,2023-04-20,67.592
339,119551,2023-04-21,67.2915
340,119551,2023-04-24,66.8398
341,119551,2023-04-25,67.0181
342,119551,2023-04-26,67.1977
343,119551,2023-04-27,66.9325
344,119551,2023-04-28,66.6894
345,119551,2023-05-01,66.8605
346,119551,2023-05-02,66.0461
347,119551,2023-05-03,65.265
348,119551,2023-05-04,64.8863
349,119551,2023-05-05,64.7977
350,119551,2023-05-08,65.0091
351,119551,2023-05-09,65.8945
352,119551,2023-05-10,66.4291
353,119551,2023-05-11,66.3697
354,119551,2023-05-12,66.3928
355,119551,2023-05-15,65.8423
356,119551,2023-05-16,65.8655
357,119551,2023-05-17,65.732
358,119551,2023-05-18,65.9533
359,119551,2023-05-19,65.5077
360,119551,2023-05-22,65.8424
361,119551,2023-05-23,66.7729
362,119551,2023-05-24,66.7433
363,119551,2023-05-25,67.0147
364,119551,2023-05-26,67.4587
365,119551,2023-05-29,67.2551
366,119551,2023-05-30,67.4229
367,119551,2023-05-31,67.4652
368,119551,2023-06-01,67.5582
369,119551,2023-06-02,67.1338
370,119551,2023-06-05,67.1829
371,119551,2023-06-06,67.5135
372,119551,2023-06-07,68.4183
373,119551,2023-06-08,69.0352
374,119551,2023-06-09,70.395
375,119551,2023-06-12,69.9563
376,119551,2023-06-13,70.5329
377,119551,2023-06-14,70.6835
378,119551,2023-06-15,72.099
379,119551,2023-06-16,71.6238
380,119551,2023-06-19,71.132
381,119551,2023-06-20,70.7935
382,119551,2023-06-21,69.5157
383,119551,2023-06-22,69.2298
384,119551,2023-06-23,68.8034
385,119551,2023-06-26,68.9302
386,119551,2023-06-27,69.174
387,119551,2023-06-28,70.3644
388,119551,2023-06-29,70.9932
389,119551,2023-06-30,70.6694
390,119551,2023-07-03,70.1479
391,119551,2023-07-04,70.4892
392,119551,2023-07-05,69.7092
393,119551,2023-07-06,70.8808
394,119551,2023-07-07,71.6589
395,119551,2023-07-10,71.3998
396,119551,2023-07-11,70.3655
397,119551,2023-07-12,71.2474
398,119551,2023-07-13,71.2122
399,119551,2023-07-14,72.031
400,119551,2023-07-17,71.0619
401,119551,2023-07-18,70.7237
402,119551,2023-07-19,70.7635
403,119551,2023-07-20,70.8294
404,119551,2023-07-21,70.5852
405,119551,2023-07-24,71.0106
406,119551,2023-07-25,70.3814
407,119551,2023-07-26,70.3294
408,119551,2023-07-27,70.4404
409,119551,2023-07-28,70.7972
410,119551,2023-07-31,71.2797
411,119551,2023-08-01,70.6126
412,119551,2023-08-02,69.6996
413,119551,2023-08-03,70.5258
414,119551,2023-08-04,70.7693
415,119551,2023-08-07,70.34
416,119551,2023-08-08,71.3456
417,119551,2023-08-09,71.4553
418,119551,2023-08-10,72.2396
419,119551,2023-08-11,72.3199
420,119551,2023-08-14,73.6843
421,119551,2023-08-15,74.8724
422,119551,2023-08-16,74.7468
423,119551,2023-08-17,75.4289
424,119551,2023-08-18,75.8986
425,119551,2023-08-21,76.8599
426,119551,2023-08-22,76.2479
427,119551,2023-08-23,76.7502
428,119551,2023-08-24,77.51
429,119551,2023-08-25,76.3564
430,119551,2023-08-28,75.6027
431,119551,2023-08-29,74.2935
432,119551,2023-08-30,74.1555
433,119551,2023-08-31,74.6647
434,119551,2023-09-01,75.6996
435,119551,2023-09-04,75.7882
436,119551,2023-09-05,76.9243
437,119551,2023-09-06,76.0329
438,119551,2023-09-07,74.9379
439,119551,2023-09-08,74.9398
440,119551,2023-09-11,75.2329
441,119551,2023-09-12,75.25
442,119551,2023-09-13,73.9285
443,119551,2023-09-14,73.9086
444,119551,2023-09-15,73.1009
445,119551,2023-09-18,73.5718
446,119551,2023-09-19,73.8482
447,119551,2023-09-20,73.2764
448,119551,2023-09-21,72.9827
449,119551,2023-09-22,72.3414
450,119551,2023-09-25,72.3387
451,119551,2023-09-26,72.9883
