amfi_code,scheme_name,fund_house,cagr_1yr_pct,cagr_3yr_pct,cagr_5yr_pct,sharpe_ratio,alpha,max_drawdown_pct,expense_ratio_pct,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,score,fund_rank
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,20.36,34.0,30.97,1.4483,0.2698,-11.27,1.46,2.0,1.0,7.0,23.0,8.0,100.0,1
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,29.6,31.78,32.83,1.1801,0.2926,-18.19,1.36,5.0,5.0,3.0,15.0,25.0,94.4396177237185,2
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,26.66,29.58,30.91,1.3067,0.2733,-12.97,1.45,7.0,2.0,5.0,22.0,13.0,94.09209383145091,3
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,53.23,32.44,30.12,1.0937,0.272,-16.22,1.38,4.0,7.0,6.0,17.0,20.0,92.35447437011295,4
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,13.06,32.49,23.3,1.0265,0.2119,-12.59,0.8,3.0,10.0,13.0,12.0,12.0,91.31190269331016,5
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,22.26,35.11,28.21,0.9982,0.2608,-20.96,1.38,1.0,11.0,9.0,17.0,28.0,87.14161598609905,6
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,60.44,30.46,25.8,1.2083,0.232,-15.01,1.54,6.0,4.0,10.0,30.5,17.0,84.10078192875761,7
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,39.75,29.18,31.95,1.2349,0.2827,-16.4,1.6,8.0,3.0,4.0,36.5,21.0,82.53692441355344,8
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,47.92,28.97,23.54,1.0272,0.214,-11.29,1.6,9.0,9.0,12.0,36.5,9.0,74.89139878366638,9
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,82.78,26.67,32.42,0.9453,0.3034,-28.71,1.43,12.0,14.0,1.0,21.0,36.0,73.76194613379671,10
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,21.48,26.87,29.58,1.1321,0.266,-17.25,1.61,11.0,6.0,8.0,38.0,22.0,72.89313640312773,11
