amfi_code,scheme_name,fund_house,sortino_ratio
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,2.3856
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,2.3643
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,2.1469
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,2.1403
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,2.0294
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,1.8751
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,1.8501
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,1.8291
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,1.8053
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,1.7996
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,1.7038
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,1.6753
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,1.6327
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,1.6198
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,1.6098
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,1.4357
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,1.3379
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,1.3307
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,1.1545
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,1.138
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,1.0959
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,1.0888
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,1.0521
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,0.8626
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,0.7621
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,0.746
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,0.5088
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,0.2766
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,0.2211
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,0.1247
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,0.0526
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,-0.0944
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,-0.1282
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,-0.1877
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,-0.3472
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,-0.351
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,-0.3768
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,-0.6135
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,-0.9418
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,-1.681
